i,identity,drop_stage,drop_detail,gt_text,plate_entry,ocr_raw,n_faces_entry,entry_rid_code,n_faces_exit,rid,matched_rid,match_sim,plate_img,probe_img
0,Anna_Nicole_Smith,,,59U184366,59U1-84366,59U184366,1,19919,1,19919,19919,0.47291842103004456,yolo_plate_ocr_data/images/val/5xemay952.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Anna_Nicole_Smith/Anna_Nicole_Smith_0001.jpg
1,Marcus_Gronholm,,,51F20754,51F-20754,51F20754,1,19920,1,19920,19920,0.41316550970077515,yolo_plate_ocr_data/images/val/3CarLongPlate759.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Marcus_Gronholm/Marcus_Gronholm_0001.jpg
2,Monica_Lewinsky,,,59D217148,59D2-17148,59D217148,1,19921,1,19921,19921,0.5127849578857422,yolo_plate_ocr_data/images/val/3xemay1330.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Monica_Lewinsky/Monica_Lewinsky_0003.jpg
3,William_Donaldson,,,59X160210,59X1-60210,59X160210,1,19922,1,19922,19922,0.6320576071739197,yolo_plate_ocr_data/images/val/5xemay231.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/William_Donaldson/William_Donaldson_0005.jpg
4,Melanie_Griffith,,,70B155132,70B1-55132,70B155132,1,19923,1,19923,19923,0.35923993587493896,yolo_plate_ocr_data/images/val/10xemay2192.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Melanie_Griffith/Melanie_Griffith_0003.jpg
5,Harry_Kalas,,,83C117111,83C1-17111,83C117111,1,19924,1,19924,19924,0.5786701440811157,yolo_plate_ocr_data/images/val/9xemay1474.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Harry_Kalas/Harry_Kalas_0002.jpg
6,Robert_Zoellick,entry_ocr_invalid,raw='15IF15585' gt='51F15585',51F15585,,15IF15585,,,,,,,yolo_plate_ocr_data/images/val/3CarLongPlate476.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Robert_Zoellick/Robert_Zoellick_0001.jpg
7,Bridgette_Wilson-Sampras,,,59F111299,59F1-11299,59F111299,1,19925,1,19925,19925,0.3844314217567444,yolo_plate_ocr_data/images/val/3xemay1213.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bridgette_Wilson-Sampras/Bridgette_Wilson-Sampras_0001.jpg
8,Sebastian_Saja,,,60B816455,60B8-16455,60B816455,1,19926,1,19926,19926,0.4116254150867462,yolo_plate_ocr_data/images/val/1xemay238.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sebastian_Saja/Sebastian_Saja_0002.jpg
9,Charlie_Zaa,,,59F118814,59F1-18814,59F118814,1,19927,1,19927,19927,0.6515653133392334,yolo_plate_ocr_data/images/val/3xemay637.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Charlie_Zaa/Charlie_Zaa_0002.jpg
10,Mike_Tyson,,,51A65474,51A-65474,51A65474,1,19928,1,19928,19928,0.5558891296386719,yolo_plate_ocr_data/images/val/4CarLongPlate223.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mike_Tyson/Mike_Tyson_0003.jpg
11,Alec_Baldwin,,,63B346905,63B3-46905,63B346905,1,19929,1,19929,19929,0.6044200658798218,yolo_plate_ocr_data/images/val/3xemay1304.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Alec_Baldwin/Alec_Baldwin_0003.jpg
12,Alex_Barros,,,52Z67766,52Z-67766,52Z67766,1,19930,1,19930,19930,0.3746336102485657,yolo_plate_ocr_data/images/val/3xemay995.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Alex_Barros/Alex_Barros_0002.jpg
13,Nick_Nolte,,,51R30737,51R-30737,51R30737,1,19931,1,19931,19931,0.5273208618164062,yolo_plate_ocr_data/images/val/3xemay1386.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Nick_Nolte/Nick_Nolte_0003.jpg
14,Tariq_Aziz,,,51G21670,51G2-16701,51G216701,1,19932,1,19932,19932,0.6588159799575806,yolo_plate_ocr_data/images/val/3CarLongPlate534.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tariq_Aziz/Tariq_Aziz_0003.jpg
15,Jeremy_Greenstock,,,59V189158,59V1-89158,59V189158,1,19933,1,19933,19933,0.5175573825836182,yolo_plate_ocr_data/images/val/6xemay528.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jeremy_Greenstock/Jeremy_Greenstock_0018.jpg
16,Ozzy_Osbourne,,,60C200684,60C2-00684,60C200684,1,19934,1,19934,19934,0.47780317068099976,yolo_plate_ocr_data/images/val/3xemay876.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ozzy_Osbourne/Ozzy_Osbourne_0001.jpg
17,James_Kopp,,,51F63034,51F-63034,51F63034,1,19935,1,19935,19935,0.528816282749176,yolo_plate_ocr_data/images/val/9CarLongPlate790.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/James_Kopp/James_Kopp_0004.jpg
18,Larry_Coker,,,59H143986,59H1-43986,59H143986,1,19936,1,19936,19936,0.6411663293838501,yolo_plate_ocr_data/images/val/2xemay2076.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Larry_Coker/Larry_Coker_0004.jpg
19,Jamie_Villafane,,,51F44614,51F-44614,51F44614,1,19937,1,19937,19937,0.7412422895431519,yolo_plate_ocr_data/images/val/3CarLongPlate710.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jamie_Villafane/Jamie_Villafane_0002.jpg
20,Charles_Moose,entry_ocr_invalid,raw='M6D1177' gt='G01177',G01177,,M6D1177,,,,,,,yolo_plate_ocr_data/images/val/4CarLongPlate781.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Charles_Moose/Charles_Moose_0006.jpg
21,Christopher_Walken,,,59F136564,59F1-36564,59F136564,1,19938,1,19938,19938,0.801702618598938,yolo_plate_ocr_data/images/val/12xemay894.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Christopher_Walken/Christopher_Walken_0002.jpg
22,Abdullah_al-Attiyah,,,51G39466,51G-39466,51G39466,1,19939,1,19939,19939,0.7376263737678528,yolo_plate_ocr_data/images/val/3CarLongPlate248.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0003.jpg
23,Magdalena_Maleeva,,,67C108347,67C1-08347,67C108347,1,19940,1,19940,19940,0.6470608711242676,yolo_plate_ocr_data/images/val/9xemay1471.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Magdalena_Maleeva/Magdalena_Maleeva_0002.jpg
24,Brian_Wells,,,59T156150,59T1-56150,59T156150,1,19941,1,19941,19941,0.5117995738983154,yolo_plate_ocr_data/images/val/3xemay547.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Brian_Wells/Brian_Wells_0001.jpg
25,Abdoulaye_Wade,,,48A05177,48A-05177,48A05177,1,19942,1,19942,19942,0.5340639352798462,yolo_plate_ocr_data/images/val/3CarLongPlate777.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg
26,Paul_Burrell,,,59S208082,59S2-08082,59S208082,1,19943,1,19943,19943,0.7625399827957153,yolo_plate_ocr_data/images/val/2xemay1786.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Paul_Burrell/Paul_Burrell_0003.jpg
27,Claudia_Schiffer,,,53R50201,53R-50201,53R50201,1,19944,1,19944,19944,0.7961114645004272,yolo_plate_ocr_data/images/val/6xemay632.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Claudia_Schiffer/Claudia_Schiffer_0003.jpg
28,Jonathan_Mostow,,,74K15866,74M-15866,74M15866,1,19945,1,19945,19945,0.5943505764007568,yolo_plate_ocr_data/images/val/12xemay1142.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jonathan_Mostow/Jonathan_Mostow_0001.jpg
29,Evander_Holyfield,,,59F182787,59F1-82787,59F182787,1,19946,1,19946,19946,0.6328492760658264,yolo_plate_ocr_data/images/val/5xemay1493.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Evander_Holyfield/Evander_Holyfield_0002.jpg
30,Omar_Sharif,,,77L100895,77L1-00895,77L100895,1,19947,1,19947,19947,0.5895603895187378,yolo_plate_ocr_data/images/val/3xemay725.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Omar_Sharif/Omar_Sharif_0004.jpg
31,Rick_Barnes,,,54H35581,54H-35581,54H35581,1,19948,1,19948,19948,0.5637456178665161,yolo_plate_ocr_data/images/val/5xemay959.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rick_Barnes/Rick_Barnes_0001.jpg
32,James_Jones,,,51G51008,51G-51008,51G51008,1,19949,1,19949,19949,0.5238831043243408,yolo_plate_ocr_data/images/val/6CarLongPlate832.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/James_Jones/James_Jones_0001.jpg
33,Paul_Gascoigne,,,81H12204,81H-12204,81H12204,1,19950,1,19950,19950,0.5357030034065247,yolo_plate_ocr_data/images/val/6xemay684.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Paul_Gascoigne/Paul_Gascoigne_0002.jpg
34,Dennis_Erickson,,,59F163186,59F1-63186,59F163186,1,19951,1,19951,19951,0.7076165676116943,yolo_plate_ocr_data/images/val/3xemay1039.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Dennis_Erickson/Dennis_Erickson_0002.jpg
35,Elizabeth_Hurley,,,51F73420,51F-73420,51F73420,1,19952,1,19952,19952,0.5351731777191162,yolo_plate_ocr_data/images/val/6CarLongPlate501.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Elizabeth_Hurley/Elizabeth_Hurley_0004.jpg
36,Pierre_Boulanger,,,59S167082,59S1-67082,59S167082,1,19953,1,19953,19953,0.7316771745681763,yolo_plate_ocr_data/images/val/2xemay1552.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Pierre_Boulanger/Pierre_Boulanger_0001.jpg
37,David_Heymann,,,59H154289,59H1-54289,59H154289,1,19954,1,19954,19954,0.7009798288345337,yolo_plate_ocr_data/images/val/2xemay2282.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/David_Heymann/David_Heymann_0001.jpg
38,Pedro_Solbes,,,86B341492,86B3-41492,86B341492,1,19955,1,19955,19955,0.6888793706893921,yolo_plate_ocr_data/images/val/4xemay2472.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Pedro_Solbes/Pedro_Solbes_0004.jpg
39,Ellen_Engleman,,,51F75326,51F-75326,51F75326,1,19956,1,19956,19956,0.5567383766174316,yolo_plate_ocr_data/images/val/4CarLongPlate842.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ellen_Engleman/Ellen_Engleman_0001.jpg
40,Lee_Tae-sik,,,54T54498,54T-54498,54T54498,1,19957,1,19957,19957,0.5611562728881836,yolo_plate_ocr_data/images/val/3xemay1167.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lee_Tae-sik/Lee_Tae-sik_0002.jpg
41,Brooke_Shields,,,59H155556,59H1-55556,59H155556,1,19958,1,19958,19958,0.5562413334846497,yolo_plate_ocr_data/images/val/3xemay1557.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Brooke_Shields/Brooke_Shields_0001.jpg
42,George_Tenet,,,59X169592,59X1-69592,59X169592,1,19959,1,19959,19959,0.6050534248352051,yolo_plate_ocr_data/images/val/10xemay1510.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/George_Tenet/George_Tenet_0002.jpg
43,Karen_Mok,,,59N118063,59N1-18063,59N118063,1,19960,1,19960,19960,0.7403559684753418,yolo_plate_ocr_data/images/val/2xemay2028.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Karen_Mok/Karen_Mok_0001.jpg
44,Shaul_Mofaz,,,59H140639,59H1-40639,59H140639,1,19961,1,19961,19961,0.5845305919647217,yolo_plate_ocr_data/images/val/13xemay592.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Shaul_Mofaz/Shaul_Mofaz_0001.jpg
45,Martha_Lucia_Ramirez,,,59H133046,59H1-33046,59H133046,1,19962,1,19962,19962,0.6390044689178467,yolo_plate_ocr_data/images/val/3xemay127.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Martha_Lucia_Ramirez/Martha_Lucia_Ramirez_0004.jpg
46,Bobby_Robson,,,86A06642,86A0-66421,86A066421,1,19963,1,19963,19963,0.6497827768325806,yolo_plate_ocr_data/images/val/5CarLongPlate859.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bobby_Robson/Bobby_Robson_0002.jpg
47,John_Spencer,,,76U115178,76U1-15179,76U115179,1,19964,1,19964,19964,0.8328977823257446,yolo_plate_ocr_data/images/val/5xemay1497.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/John_Spencer/John_Spencer_0002.jpg
48,Jane_Pauley,,,72X18179,72X-18179,72X18179,1,19965,1,19965,19965,0.6059104800224304,yolo_plate_ocr_data/images/val/1xemay495.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jane_Pauley/Jane_Pauley_0001.jpg
49,Yoko_Ono,,,60B337846,60B3-37846,60B337846,1,19966,1,19966,19966,0.6897587776184082,yolo_plate_ocr_data/images/val/8xemay2439.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Yoko_Ono/Yoko_Ono_0003.jpg
50,Cameron_Diaz,,,51M21719,51M-21719,51M21719,1,19967,1,19967,19967,0.5752613544464111,yolo_plate_ocr_data/images/val/4xemay2090.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Cameron_Diaz/Cameron_Diaz_0002.jpg
51,Donald_Evans,,,49K107320,49K1-07320,49K107320,1,19968,1,19968,19968,0.7527586817741394,yolo_plate_ocr_data/images/val/12xemay484.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Donald_Evans/Donald_Evans_0002.jpg
52,Candie_Kung,,,71B251318,71B2-51318,71B251318,1,19969,1,19969,19969,0.7367647886276245,yolo_plate_ocr_data/images/val/7xemay2094.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Candie_Kung/Candie_Kung_0004.jpg
53,Lina_Krasnoroutskaya,,,76G122607,76G1-22607,76G122607,1,19970,1,19970,19970,0.41400671005249023,yolo_plate_ocr_data/images/val/3xemay918.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lina_Krasnoroutskaya/Lina_Krasnoroutskaya_0001.jpg
54,Tyron_Garner,,,59P117980,59P1-17980,59P117980,1,19971,1,19971,19971,0.44479647278785706,yolo_plate_ocr_data/images/val/6xemay172.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tyron_Garner/Tyron_Garner_0001.jpg
55,Michael_Sullivan,,,72F131144,72F1-31144,72F131144,1,19972,1,19972,19972,0.6778472065925598,yolo_plate_ocr_data/images/val/2xemay1666.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Michael_Sullivan/Michael_Sullivan_0001.jpg
56,Tom_Reilly,,,29A51796,29A-51796,29A51796,1,19973,1,19973,19973,0.6975863575935364,yolo_plate_ocr_data/images/val/4CarLongPlate68.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tom_Reilly/Tom_Reilly_0001.jpg
57,Geraldine_Chaplin,,,51L82105,51L-82105,51L82105,1,19974,1,19974,19974,0.6726003289222717,yolo_plate_ocr_data/images/val/2xemay1926.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Geraldine_Chaplin/Geraldine_Chaplin_0001.jpg
